Data,Frequency
롯데펩시제로업소용,1
순살등심돈까스,1
파랑,1
빨강,1
날치,1
리소스,1
삼양맵탱흑후추소고기라면번들,1
싹,1
담배,1
쎈쿡100%현미밥3,1
장탕,1
프레쉬석쇠크린,1
오렌지색,1
족발,1
푸디스트생메밀면,1
식자재왕통살새우까스,1
하인즈토마토페이스트,1
파기,1
LG 퐁퐁친환경주방세제오렌지,1
동 오레오마일드스위트,1
강,1
마가렛트씨앗호떡,1
페레로로쉐T8하트,1
추장,1
골든몰키스트버터,1
두부조림,1
치약,1
콤팩트,1
양송,1
29,1
CJ꼬마새우까스25,1
제크오리지널,1
칸쵸스윗밀크,1
핵짱셔요후르츠,1
츄앤리얼고구마츄,1
램프,1
메이드,1
CJ버섯샤브칼국수양념,1
릴비,1
조지아크래프트스,1
피코크등심돈까스,1
주물러1200,1
키로,1
퀴진치즈크리스피,1
포카리스웨트500m,1
란,1
더위사냥,1
290,1
영업,1
아몬,1
타임,1
포카리스웨트pet ,1
랭거스자몽,1
앵,1
피고,1
식부,1
엠앤엠즈밀크,1
매일바이오책스초,1
LG 페리오브레쓰케어플러스,1
리코스나쵸칩,1
28,1
해 버터링딥초코,1
CJ 더건강한닭슴살소시지,1
벤,1
티플러스,1
오뎅,1
극한,1
정,1
잔칫집,1
서 슈레드피자치즈,1
LG 퐁퐁친환경주방세제코코넛,1
고백,1
쉐프솔루션칼집숑,1
동 TOP스위트아메리카노,1
기무,1
CJ크레잇그릴후랑,1
후루룩칼국수,1
불닭,1
수타면,1
홍,1
결명자,1
에비앙,1
피탈취99실내건조프레시리필,1
새우젓,1
젤리빈,1
치즈버거,1
CJ 비비고칩스위트콘,1
삼치,1
조지아크래프트 ,1
동태,1
조지아크래프트콜,1
LG ES마카다미아브라질넛린스,1
청정원머쉬룸투움,1
LG ES마카다미아브라질넛샴푸,1
참숯,1
T.O.P,1
허쉬너켓크리미아몬드,1
오뚜기골드마요네즈스파우트팩,1
가보팜스사양벌꿀,1
운라,1
드봉스위트로즈향,1
채끝,1
통살치킨까스,1
탐스제로복숭아,1
치석구취민트향,1
레인,1
깐풍기,1
하림포켓몬치즈너겟,1
립,1
휴대,1
선호,1
해남,1
가벼운참치라이트스탠다드기획,1
켈로그후르트링,1
풀 노엣지스위트포테이토피자,1
